block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
103,12,0,0,0,1,True
102,12,0,0,0,1.0091324200913243,True
101,12,0,0,0,1,True
100,12,0,0,0,1,True
99,12,0,0,0,1,True
98,12,0,0,0,1,True
97,12,0,0,0,1,True
96,12,0,0,0,1,True
95,12,0,0,0,1,True
94,12,0,0,0,1,True
93,12,0,0,0,1,True
92,12,0,0,0,1,True
91,12,0,0,0,1,True
90,12,0,0,0,1,True
89,12,0,0,0,1,True
88,12,0,0,0,1,True
87,12,0,0,0,1,True
86,12,0,0,0,1,True
85,12,0,0,0,1,True
84,12,0,0,0,1,True
83,12,0,0,0,1,True
82,12,0,0,0,1,True
81,12,0,0,0,1,True
79,12,0,0,0,1,True
78,12,0,0,0,1,True
75,12,0,0,0,1,True
74,12,0,0,0,1,True
73,12,0,0,0,1,True
72,12,0,0,0,1,True
71,12,0,0,0,1,True
68,12,0,0,0,0.958904109589041,True
67,12,0,0,0,1,True
66,12,0,0,0,1,True
65,12,0,0,0,1,True
63,12,0,0,0,1,True
62,12,0,0,0,1,True
61,12,0,0,0,1.004566210045662,True
60,7,0,0,0,0.1552511415525114,True
59,12,0,0,0,1.004566210045662,True
58,12,0,0,0,1,True
57,12,0,0,0,1,True
56,12,0,0,0,1,True
55,12,0,0,0,1,True
54,12,0,0,0,1,True
53,12,0,0,0,1,True
52,12,0,0,0,1,True
51,12,0,0,0,1,True
50,12,0,0,0,1,True
49,12,0,0,0,1,True
48,12,0,0,0,1,True
46,12,0,0,0,1,True
42,12,0,0,0,1,True
41,12,0,0,0,1.004566210045662,True
40,12,0,0,0,1,True
39,12,0,0,0,1,True
38,12,0,0,0,1,True
37,12,0,0,0,1,True
36,12,0,0,0,1,True
35,12,0,0,0,1,True
34,12,0,0,0,1,True
33,12,0,0,0,1,True
32,12,0,0,0,1,True
31,12,0,0,0,1,True
30,12,0,0,0,1,True
29,12,0,0,0,1,True
28,12,0,0,0,1,True
27,12,0,0,0,1,True
26,12,0,0,0,1,True
25,12,0,0,0,1,True
24,12,0,0,0,1,True
23,12,0,0,0,1,True
22,12,0,0,0,1,True
21,12,0,0,0,1,True
20,12,0,0,0,1,True
19,12,0,0,0,1,True
18,12,0,0,0,1,True
17,12,0,0,0,1,True
16,12,0,0,0,1,True
15,12,0,0,0,1,True
14,12,0,0,0,1,True
13,12,0,0,0,1,True
12,12,0,0,0,1,True
11,12,0,0,0,1,True
9,12,0,0,0,1,True
8,12,0,0,0,1,True
7,12,0,0,0,1,True
6,12,0,0,0,1.004566210045662,True
5,12,0,0,0,1,True
4,12,0,0,0,1,True
3,12,0,0,0,1,True
1,12,0,0,0,1,True
