block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
302,64,0.0949629052488665,1,2
160,35,0.09443512956489679,1,2
397,75,0.09360824443204746,1,2
351,28,0.09291685130231517,1,2
13,8,0.08872011954075582,1,2
313,74,0.08029919950443572,1,2
122,69,0.08014807790735273,1,2
163,25,0.07992418132926823,1,3
350,67,0.07981360216175033,1,2
254,76,0.07949898286990739,2,4
157,35,0.07832905254176703,1,2
369,46,0.06781813526216743,1,2
264,22,0.06700647389594765,1,2
312,36,0.06592070777998131,1,2
290,77,0.0658278769728353,1,2
370,78,0.06528072466571595,1,2
214,38,0.062111330971198336,1,2
362,79,0.061978231898741465,1,2
390,80,0.061327397755759794,1,2
291,77,0.05931170501767222,1,2
401,81,0.0582793054840727,1,2
242,9,0.05573984168759333,1,2
253,76,0.054546803162485405,1,2
375,64,0.05408406665027344,1,2
373,67,0.052963296942582894,1,2
19,33,0.04874711651219626,1,2
219,48,0.047336986094431044,1,2
256,75,0.0470870417562107,1,2
330,43,0.044415391638250076,1,2
300,10,0.04407352277651666,1,2
342,43,0.04331293801345271,1,2
305,82,0.04306057977751491,1,2
249,68,0.04224908462493507,1,2
368,25,0.04222727278551982,1,2
367,25,0.04222727278551982,1,2
78,47,0.040725376333113905,3,6
73,47,0.04067855956348938,1,2
71,47,0.04067855956348938,1,2
70,47,0.04067855956348938,1,2
327,30,0.040219587808842744,1,2
326,30,0.040219587808842744,1,2
148,15,0.038051644223818695,1,2
210,37,0.03767073005007331,1,2
398,83,0.03711854190785016,1,2
132,71,0.036955944623546545,1,2
349,57,0.03694365579895657,1,2
262,60,0.036854288009383576,1,2
224,52,0.03644431354526219,1,2
82,47,0.03481732223793431,1,2
81,47,0.03481732223793431,1,2
80,47,0.03481732223793431,1,2
79,47,0.03481732223793431,1,2
77,47,0.03481732223793431,1,2
393,62,0.03476968914395895,1,2
207,73,0.03423085981361776,1,2
358,39,0.033096299216232146,1,2
348,57,0.03246374674539643,1,2
266,84,0.03076179015436552,1,2
265,84,0.03076179015436552,1,2
298,59,0.02921259233750896,1,2
295,51,0.027491558444055313,1,2
138,39,0.02669558161760297,1,2
137,39,0.02669558161760297,1,2
281,41,0.005654729140910272,1,2
129,71,0.0026209238857529313,1,2
128,71,0.0026209238857529313,1,2
395,11,0.0016611204533300726,1,2
396,11,0.0016087496421669724,1,2
308,85,0.0009602035256809988,1,2
